time,gFx,gFy,gFz,wx,wy,wz,Bx,By,Bz,label
0.067452,0.2167,0.4776,0.877,0.0,0.0,0.0,0.0,0.0,0.0,
0.067866,0.2201,0.4773,0.8856,0.0,0.0,0.0,0.0,0.0,0.0,
0.112338,0.224,0.4793,0.8785,0.0,0.0,0.0,0.0,0.0,0.0,
0.114681,0.2067,0.4771,0.8709,0.0,0.0,0.0,0.0,0.0,0.0,
0.116775,0.2067,0.4771,0.8709,0.0243,0.0073,-0.0476,0.0,0.0,0.0,
0.126095,0.1974,0.48,0.8643,0.0243,0.0073,-0.0476,0.0,0.0,0.0,
0.14953,0.1883,0.4771,0.8797,0.0243,0.0073,-0.0476,0.0,0.0,0.0,
0.15099,0.1874,0.4742,0.8978,0.0243,0.0073,-0.0476,0.0,0.0,0.0,
0.152544,0.1874,0.4742,0.8978,0.0243,0.0073,-0.0476,0.0,0.0,0.0,
0.166352,0.1874,0.4742,0.8978,0.0243,0.0073,-0.0476,-48.9563,31.95,-44.625,
0.188773,0.1922,0.4725,0.9024,0.0243,0.0073,-0.0476,-48.9563,31.95,-44.625,
0.189828,0.1922,0.4725,0.9024,0.0365,0.0231,-0.0388,-48.9563,31.95,-44.625,
0.192612,0.1932,0.4734,0.898,0.0365,0.0231,-0.0388,-48.9563,31.95,-44.625,
0.208371,0.1932,0.4734,0.898,0.0365,0.0231,-0.0388,-48.9563,31.95,-44.625,
0.21301,0.191,0.4737,0.8983,0.0365,0.0231,-0.0388,-48.9563,31.95,-44.625,
0.215632,0.191,0.4737,0.8983,0.0365,0.0231,-0.0388,-49.3875,31.575,-45.3,
0.244883,0.191,0.4737,0.8983,0.1171,0.0832,-0.0136,-49.3875,31.575,-45.3,
0.245599,0.1781,0.4771,0.889,0.1171,0.0832,-0.0136,-49.3875,31.575,-45.3,
0.260526,0.1688,0.4876,0.8687,0.1171,0.0832,-0.0136,-49.3875,31.575,-45.3,
0.264177,0.1688,0.4876,0.8687,0.1171,0.0832,-0.0136,-49.3875,31.575,-45.3,
0.265341,0.1744,0.4937,0.8524,0.1171,0.0832,-0.0136,-49.3875,31.575,-45.3,
0.278185,0.1744,0.4937,0.8524,0.1171,0.0832,-0.0136,-49.3688,31.1625,-45.7875,
0.322736,0.1805,0.4915,0.8519,0.1171,0.0832,-0.0136,-49.3688,31.1625,-45.7875,
0.32375,0.1964,0.4947,0.8543,0.1171,0.0832,-0.0136,-49.3688,31.1625,-45.7875,
0.324474,0.2001,0.4969,0.858,0.1171,0.0832,-0.0136,-49.3688,31.1625,-45.7875,
0.32498,0.2001,0.4969,0.858,0.126,0.0741,0.042,-49.3688,31.1625,-45.7875,
0.32562,0.2001,0.4969,0.858,0.126,0.0741,0.042,-49.3688,31.1625,-45.7875,
0.356822,0.2001,0.4969,0.858,0.126,0.0741,0.042,-49.05,31.1063,-45.8063,
0.359787,0.1959,0.4981,0.8472,0.126,0.0741,0.042,-49.05,31.1063,-45.8063,
0.377305,0.1959,0.4981,0.8472,0.0594,0.0844,0.0628,-49.05,31.1063,-45.8063,
0.380239,0.1959,0.4981,0.8472,0.0594,0.0844,0.0628,-49.05,31.1063,-45.8063,
0.381863,0.1991,0.503,0.8516,0.0594,0.0844,0.0628,-49.05,31.1063,-45.8063,
0.385511,0.2086,0.5062,0.8614,0.0594,0.0844,0.0628,-49.05,31.1063,-45.8063,
0.416296,0.2086,0.5062,0.8614,0.0594,0.0844,0.0628,-48.8625,31.05,-45.9,
0.422541,0.2143,0.5162,0.8819,0.0594,0.0844,0.0628,-48.8625,31.05,-45.9,
0.428179,0.2199,0.5343,0.9017,0.0594,0.0844,0.0628,-48.8625,31.05,-45.9,
0.437651,0.2199,0.5343,0.9017,0.0594,0.0844,0.0628,-48.8625,31.05,-45.9,
0.439579,0.2287,0.5741,0.9239,0.0594,0.0844,0.0628,-48.8625,31.05,-45.9,
0.45182,0.2287,0.5741,0.9239,0.0666,0.0176,0.0339,-48.8625,31.05,-45.9,
0.459286,0.2604,0.654,0.9962,0.0666,0.0176,0.0339,-48.8625,31.05,-45.9,
0.477501,0.3792,0.7654,1.1702,0.0666,0.0176,0.0339,-48.8625,31.05,-45.9,
0.480347,0.3792,0.7654,1.1702,0.0666,0.0176,0.0339,-48.7688,30.975,-46.1625,
0.49222,0.5279,0.8609,1.5195,0.0666,0.0176,0.0339,-48.7688,30.975,-46.1625,
0.494496,0.5279,0.8609,1.5195,0.0666,0.0176,0.0339,-48.7688,30.975,-46.1625,
0.508497,0.5279,0.8609,1.5195,0.0918,-0.0606,-0.1515,-48.7688,30.975,-46.1625,
0.526543,0.6701,0.8824,1.9021,0.0918,-0.0606,-0.1515,-48.7688,30.975,-46.1625,
0.547683,0.6701,0.8824,1.9021,0.0918,-0.0606,-0.1515,-48.7688,30.975,-46.1625,
0.549411,0.7466,0.8792,2.1053,0.0918,-0.0606,-0.1515,-48.7688,30.975,-46.1625,
0.552242,0.792,0.8687,2.0306,0.0918,-0.0606,-0.1515,-48.7688,30.975,-46.1625,
0.560792,0.792,0.8687,2.0306,0.0918,-0.0606,-0.1515,-48.975,30.5625,-46.4062,
0.566114,0.792,0.8687,2.0306,1.623,0.336,-0.8256,-48.975,30.5625,-46.4062,
0.571848,0.7084,0.7842,1.797,1.623,0.336,-0.8256,-48.975,30.5625,-46.4062,
0.592631,0.557,0.6535,1.4467,1.623,0.336,-0.8256,-48.975,30.5625,-46.4062,
0.603962,0.3393,0.4974,1.0539,1.623,0.336,-0.8256,-48.975,30.5625,-46.4062,
0.60658,0.3393,0.4974,1.0539,1.623,0.336,-0.8256,-48.975,30.5625,-46.4062,
0.616154,0.3393,0.4974,1.0539,1.623,0.336,-0.8256,-49.8,28.5938,-46.8375,
0.625689,0.1605,0.3576,0.7319,1.623,0.336,-0.8256,-49.8,28.5938,-46.8375,
0.641912,0.1605,0.3576,0.7319,3.5392,0.9254,-1.7705,-49.8,28.5938,-46.8375,
